task,latency,resource,observation,reward,cost,workload,conf
219,58.719,282.0,0.0;0.01;0.18;0.7;0.0;0.0;0.0;0.84;0.02;0.88;0.94;0.3;15.47;9.35;0.88;0.14;0.93;0.11;282.0;10;58.719,8.4,0,10,21;1;22;3;20;100;-2;10;2;-39;0.5;50;3;1;2;3;21;3;2;4;32;21;1;20;2;480;64;6.5;14;3
220,120.191,276.0,0.0;0.0;0.21;0.69;0.0;0.04;0.0;0.82;0.02;0.93;0.99;0.28;7.68;15.36;0.66;0.15;0.89;0.09;276.0;10;120.191,4.2,61.47,10,20;1;21;3;20;100;-1;10;1;-38;0.5;50;4;2;1;2;22;3;2;4;32;20;1;21;2;512;96;6.0;15;3
221,97.919,219.0,0.0;0.01;0.23;0.66;0.0;0.0;0.0;0.82;0.02;0.95;1.04;0.27;10.28;9.32;0.83;0.15;0.89;0.11;219.0;10;97.919,15,0,10,20;2;20;2;30;100;-2;11;1;-38;0.5;60;3;3;2;2;22;2;2;3;32;21;1;20;1;512;96;6.5;15;2
222,167.679,270.0,0.0;0.0;0.23;0.69;0.0;0.0;0.0;0.1;0.02;0.97;0.98;0.28;7.6;6.28;0.84;0.11;0.1;0.08;270.0;10;167.679,0.1,69.76,10,19;1;21;3;30;100;-1;10;1;-37;0.5;70;4;3;3;3;22;3;1;2;32;22;1;21;1;512;96;7.0;16;3
223,79.935,292.0,0.0;0.0;0.23;0.7;0.0;0.0;0.0;0.14;0.02;1.02;0.94;0.28;10.41;6.3;0.82;0.11;0.08;0.08;292.0;10;79.935,5.0,0,10,18;1;22;3;40;100;-2;11;1;-37;0.5;60;3;3;3;3;22;3;1;1;32;22;1;20;2;544;96;6.5;17;3
224,9.207,315.0,0.0;0.22;0.06;0.53;0.0;0.0;0.0;0.84;0.02;0.97;0.72;0.25;15.37;9.4;0.84;0.11;0.9;0.1;315.0;10;9.207,5.0,0,10,19;2;22;2;30;200;-1;11;2;-36;0.5;70;2;3;2;3;22;3;1;2;32;22;1;21;3;512;64;6.0;16;3
225,111.679,305.0,0.0;0.01;0.2;2.12;0.0;0.0;0.0;0.04;0.03;0.92;0.99;0.28;7.83;9.38;0.86;0.13;0.09;0.09;305.0;10;111.679,7.0,102.47,10,20;3;21;2;20;300;-2;10;3;-37;0.7;60;3;3;2;3;21;2;1;1;160;22;1;20;3;512;64;6.5;17;2
226,13.863,288.0,0.0;0.01;0.25;1.29;0.0;0.0;0.0;0.82;0.02;0.94;1.04;0.26;6.72;9.43;0.85;0.13;0.93;0.09;288.0;10;13.863,15,0,10,20;3;20;1;30;200;-2;11;3;-37;0.5;70;4;3;2;3;22;1;1;1;160;21;1;21;3;512;64;6.0;17;3
227,78.463,301.0,0.0;0.01;0.21;0.69;0.0;0.0;0.0;0.94;0.02;0.92;0.99;0.25;10.56;18.89;0.83;0.13;0.56;0.08;301.0;10;78.463,0.1,0,10,20;3;21;2;20;300;-1;11;3;-37;0.5;80;3;2;1;3;22;1;1;1;32;21;1;20;3;512;64;5.5;18;3
228,47.263,265.0,0.0;0.0;0.14;0.69;0.0;0.0;0.0;0.94;0.02;0.88;0.95;0.28;10.19;18.75;0.8;0.13;0.56;0.07;265.0;10;47.263,15,0,10,21;3;22;1;10;200;0;10;3;-38;0.5;70;3;1;1;2;22;2;1;1;160;21;1;21;2;480;64;5.5;19;2
229,106.303,254.0,0.0;0.0;0.16;0.99;0.0;0.0;0.0;0.07;0.02;0.91;0.96;0.3;10.88;9.65;0.83;0.16;0.08;0.08;254.0;10;106.303,7.7,59.04,10,20;3;22;1;10;300;0;9;3;-37;0.5;80;3;1;2;1;22;1;2;1;288;20;1;22;2;512;96;5.5;18;3
230,75.327,266.0,0.0;0.22;0.19;0.73;0.0;0.0;0.0;1.66;0.02;0.86;0.94;0.34;7.67;18.85;0.83;0.14;0.13;0.09;266.0;10;75.327,5.0,0,10,21;3;22;2;10;200;0;8;2;-38;0.5;90;4;1;1;1;22;2;2;2;416;21;1;22;1;544;64;5.0;17;3
231,83.519,313.0,0.0;0.0;0.14;0.73;0.0;0.0;0.0;0.83;0.02;0.83;0.94;0.33;7.67;18.63;0.83;0.12;0.85;0.09;313.0;10;83.519,0.1,0,10,22;2;22;3;20;200;-1;8;2;-38;0.5;90;5;1;1;2;22;3;1;1;416;22;1;22;2;544;96;5.0;16;3
232,24.911,305.0,0.0;0.0;0.24;0.73;0.02;0.0;0.0;0.81;0.02;0.85;0.93;0.33;7.67;10.07;0.83;0.11;0.85;0.09;305.0;10;24.911,10.6,0,10,22;1;22;3;30;300;0;9;3;-39;0.5;100;4;1;1;3;22;2;1;1;288;22;1;22;3;512;128;5.5;17;3
233,114.047,254.0,0.0;0.0;0.25;0.73;0.0;0.5;0.0;0.06;0.02;0.84;0.95;0.27;7.67;19.48;0.3;0.12;0.1;0.08;254.0;10;114.047,10.0,89.14,10,22;1;22;3;30;300;-1;10;2;-40;0.5;90;3;1;1;2;21;1;1;1;288;22;1;22;3;512;128;6.0;16;2
234,159.999,269.0,0.0;0.0;0.26;0.73;0.07;0.0;0.0;0.83;0.03;0.88;0.98;0.23;7.95;19.75;0.83;0.15;0.89;0.08;269.0;10;159.999,0.1,45.95,10,21;2;21;3;30;400;-2;11;1;-39;0.7;90;4;1;1;3;22;2;2;1;416;22;1;21;3;480;160;6.0;17;1
235,143.359,228.0,0.0;0.0;0.2;0.64;0.0;0.0;0.0;1.19;0.02;0.84;0.95;0.28;10.53;18.84;0.86;0.19;0.29;0.09;228.0;10;143.359,14.99,0,10,22;2;22;3;20;500;-3;10;1;-38;0.9;90;3;1;1;3;21;1;3;2;288;21;1;22;2;512;128;6.0;16;1
236,158.591,205.0,0.0;0.01;0.09;0.73;0.0;0.0;0.0;0.05;0.02;0.95;0.98;0.27;9.66;18.93;0.92;0.19;0.07;0.1;205.0;10;158.591,10.0,15.23,10,22;2;21;3;10;400;-3;10;1;-39;0.7;100;3;2;1;2;20;1;4;1;416;22;1;22;1;544;96;6.5;16;1
237,162.175,268.0,0.0;0.27;0.15;0.7;0.38;0.0;0.0;0.83;0.02;0.88;0.63;0.29;10.37;9.94;0.89;0.18;0.83;0.1;268.0;10;162.175,0.1,3.58,10,21;3;21;3;10;400;-2;9;1;-38;0.7;100;3;2;1;3;21;2;3;1;544;22;1;22;2;576;64;6.0;16;1
238,116.927,313.0,0.0;0.0;0.17;0.82;0.21;0.0;0.0;0.85;0.02;0.87;0.94;0.34;12.84;18.81;0.86;0.15;0.84;0.09;313.0;10;116.927,5.0,0,10,21;3;22;3;20;500;-1;8;2;-38;0.9;90;2;2;1;3;21;3;2;2;544;22;1;22;2;608;96;6.0;16;2
239,18.495,331.0,0.0;0.0;0.18;0.67;0.43;0.08;0.0;0.82;0.02;0.83;0.99;0.4;13.78;12.57;0.45;0.14;0.84;0.1;331.0;10;18.495,5.0,0,10,22;3;21;3;20;400;-2;7;3;-39;0.9;100;2;1;1;2;22;3;2;1;416;22;1;22;2;640;64;6.5;15;3
240,49.247,306.0,0.0;0.0;0.2;6.21;0.0;0.0;0.0;0.08;0.03;0.88;0.94;0.41;1.24;18.7;0.84;0.16;0.11;0.11;306.0;10;49.247,10.0,0,10,21;3;22;3;20;400;-1;7;2;-40;1.1;100;1;2;1;1;22;3;3;1;288;22;1;22;2;672;96;7.0;14;2
241,105.791,313.0,0.0;0.0;0.14;0.96;0.0;0.0;0.0;0.04;0.02;0.84;1.01;0.44;8.08;18.84;0.83;0.17;0.08;0.1;313.0;10;105.791,0.1,56.54,10,22;3;21;2;10;300;-1;6;3;-40;1.3;100;1;1;1;2;22;3;3;2;160;22;1;22;3;640;64;6.5;15;2
242,144.639,251.0,0.0;0.0;0.17;0.88;0.0;0.0;0.0;1.0;0.02;0.82;1.02;0.54;28.24;9.34;0.88;0.14;0.59;0.09;251.0;10;144.639,10.0,38.85,10,21;3;20;1;10;300;-1;5;3;-41;1.5;100;1;1;2;3;21;2;2;3;288;22;1;22;3;608;64;7.0;16;1
243,106.815,262.0,0.0;0.0;0.16;6.31;0.3;0.0;0.0;0.82;0.02;0.84;1.02;0.53;8.59;19.05;0.92;0.15;0.86;0.09;262.0;10;106.815,5.0,0,10,22;2;21;1;10;400;0;6;2;-41;1.5;90;1;2;1;3;20;3;2;2;416;22;1;22;3;576;64;7.5;16;2
244,97.983,260.0,0.98;0.0;0.07;7.75;0.0;0.0;0.0;0.82;0.02;0.84;1.02;0.42;8.79;9.41;0.88;0.17;0.84;0.09;260.0;10;97.983,4.05,0,10,22;3;20;1;10;400;1;6;1;-40;1.7;80;1;1;2;2;21;3;3;1;288;22;1;22;2;608;64;7.5;17;2
245,127.231,258.0,0.0;0.0;0.16;0.68;0.0;0.0;0.0;0.09;0.01;0.84;1.03;0.57;14.74;6.29;0.93;0.2;0.1;0.09;258.0;10;127.231,1.4,29.25,10,22;2;20;1;10;300;2;5;1;-41;1.5;90;2;1;3;2;20;3;4;2;416;22;1;21;3;608;64;7.5;18;2
246,70.655,241.0,0.0;0.0;0.17;0.68;0.0;0.0;0.0;0.46;0.02;0.87;0.99;0.48;14.74;6.25;0.87;0.18;0.49;0.09;241.0;10;70.655,15,0,10,21;2;21;2;10;200;3;6;1;-42;1.3;80;3;1;3;3;21;2;3;2;544;21;1;21;2;608;96;8.0;17;2
247,254.847,203.0,0.0;0.0;0.2;0.7;0.0;0.0;0.0;0.83;0.02;0.83;0.94;0.45;15.48;9.34;0.87;0.16;0.92;0.09;203.0;10;254.847,10.0,184.19,10,22;3;22;2;20;100;4;6;1;-43;1.1;70;2;1;2;3;20;1;2;3;672;22;1;20;1;608;96;8.5;17;1
248,114.111,186.0,0.0;0.0;0.15;0.7;0.0;0.0;0.0;0.08;0.02;0.84;0.93;0.42;10.13;18.75;0.88;0.12;0.1;0.09;186.0;10;114.111,15,14.11,10,22;3;22;1;10;100;4;6;2;-44;1.3;70;3;1;1;3;21;1;1;2;672;22;1;21;1;640;96;8.0;16;1
249,115.711,210.0,0.0;0.0;0.19;0.64;0.0;0.0;0.0;0.84;0.01;0.86;0.95;0.45;10.31;18.64;0.88;0.12;0.95;0.1;210.0;10;115.711,0.1,1.6,10,21;3;22;1;20;200;5;6;3;-43;1.1;70;3;2;1;3;21;1;1;1;800;22;1;20;2;608;128;7.5;15;1
250,71.231,260.0,0.0;0.0;0.2;3.99;0.0;0.0;0.0;0.81;0.01;0.84;0.94;0.5;0.91;19.03;0.88;0.13;0.89;0.11;260.0;10;71.231,5.0,0,10,22;3;22;2;30;100;4;6;2;-43;1.3;60;3;1;1;2;20;1;1;1;672;22;1;21;3;640;96;8.0;14;2
251,167.039,282.0,0.0;0.0;0.19;0.68;0.0;0.0;0.0;0.83;0.02;0.83;0.95;0.58;10.3;18.99;0.88;0.13;0.84;0.12;282.0;10;167.039,0.1,95.81,10,22;2;22;3;20;100;3;5;3;-42;1.1;70;3;2;1;3;21;1;1;1;800;22;1;22;3;672;96;8.5;13;3
252,157.695,222.0,0.0;0.0;0.2;4.42;0.0;0.0;0.0;0.22;0.02;0.83;0.94;0.49;9.67;16.49;0.88;0.14;0.07;0.12;222.0;10;157.695,12.8,0,10,22;2;22;2;20;100;3;6;3;-43;1.1;70;2;2;1;3;20;1;1;1;672;21;1;22;2;640;64;8.0;12;2
253,152.831,287.0,0.0;0.0;0.18;0.65;0.0;0.0;0.0;0.09;0.02;0.84;0.99;0.4;10.36;9.42;0.97;0.15;0.09;0.12;287.0;10;152.831,1.46,0,10,22;3;21;3;10;100;2;7;2;-42;1.1;80;3;3;2;3;19;1;1;1;800;20;1;22;3;672;96;7.5;12;2
254,150.655,282.0,0.0;0.0;0.2;0.7;0.0;0.0;0.0;0.06;0.02;0.83;0.98;0.34;10.34;18.74;1.04;0.14;0.1;0.11;282.0;10;150.655,4.15,0,10,22;3;21;3;20;200;3;8;2;-41;1.1;90;3;3;1;3;18;2;1;2;928;21;1;21;2;704;128;8.0;13;2
255,245.247,291.0,0.0;0.0;0.19;0.72;0.39;0.0;0.0;0.81;0.02;0.87;0.94;0.36;10.27;9.37;1.02;0.13;0.85;0.13;291.0;10;245.247,0.1,94.59,10,21;3;22;3;20;200;4;8;1;-40;1.1;80;3;2;2;2;18;3;1;3;1056;22;1;22;2;736;96;8.5;12;2
256,193.407,276.0,0.0;0.0;0.2;3.85;0.0;0.0;0.0;0.06;0.02;0.92;0.97;0.38;5.44;6.25;0.96;0.13;0.39;0.14;276.0;10;193.407,15,93.41,10,20;3;21;2;20;200;4;7;1;-41;1.1;70;4;3;3;1;19;3;1;2;1184;21;1;21;3;704;96;8.0;11;1
257,169.727,280.0,0.04;0.0;0.2;3.29;0.0;0.0;0.0;0.31;0.01;0.91;1.03;0.44;4.83;11.27;1.04;0.13;0.37;0.13;280.0;10;169.727,5.0,0,10,20;3;20;3;30;300;3;7;1;-41;0.9;60;5;3;2;1;18;2;1;2;1312;22;1;22;3;736;128;7.5;12;1
258,188.415,296.0,0.0;0.0;0.27;0.56;0.0;0.0;0.0;0.74;0.02;0.87;1.08;0.49;5.26;11.27;1.07;0.17;0.84;0.12;296.0;10;188.415,0.1,18.69,10,21;3;19;3;40;200;3;6;1;-42;1.1;60;6;3;2;1;17;3;2;3;1184;22;1;22;3;768;160;7.0;11;1
259,101.247,267.0,0.0;0.0;0.32;0.68;0.0;0.0;0.0;0.81;0.02;0.91;1.05;0.4;4.38;11.27;1.02;0.17;0.89;0.14;267.0;10;101.247,15,0,10,20;2;20;2;50;100;2;7;2;-41;1.1;50;7;3;3;1;18;3;2;4;1312;21;1;21;3;768;192;7.5;11;1
260,104.959,252.0,0.0;0.01;0.36;1.28;0.0;0.0;0.0;0.82;0.02;0.87;1.08;0.34;2.81;11.27;0.97;0.14;0.92;0.13;252.0;10;104.959,10.0,3.71,10,21;2;19;3;60;100;2;8;1;-42;1.3;40;7;3;3;1;19;2;1;4;1440;21;1;20;2;768;192;7.0;11;2
261,171.647,189.0,0.0;0.0;0.39;0.89;0.0;0.0;0.0;0.82;0.02;0.85;1.04;0.33;5.17;6.27;0.93;0.16;0.92;0.13;189.0;10;171.647,10.0,66.69,10,22;2;20;2;70;100;3;8;2;-41;1.5;30;6;2;3;2;20;1;2;3;1440;22;1;19;1;800;224;6.5;10;1
262,184.575,185.0,0.0;0.01;0.39;0.65;0.0;0.0;0.0;0.82;0.02;0.83;1.1;0.33;4.47;4.71;0.93;0.14;0.92;0.13;185.0;10;184.575,2.8,12.93,10,22;1;19;3;70;100;2;7;1;-42;1.5;20;7;2;4;3;21;1;1;2;1568;21;1;20;1;800;256;7.0;11;1
263,129.727,232.0,0.0;0.0;0.38;0.72;0.0;0.0;0.0;0.82;0.03;0.86;1.1;0.35;4.39;4.68;0.89;0.17;0.9;0.13;232.0;10;129.727,5.0,0,10,21;1;19;3;70;200;1;8;2;-42;1.3;20;7;3;4;3;21;2;2;1;1696;22;1;21;1;768;224;6.5;10;2
264,49.951,218.0,0.0;0.01;0.49;0.86;0.03;0.0;0.0;0.1;0.02;0.88;1.15;0.3;4.4;2.85;0.87;0.15;0.08;0.16;218.0;10;49.951,14.8,0,10,21;2;18;2;70;300;2;9;2;-41;1.1;20;7;2;5;3;21;1;1;1;1568;21;1;21;1;800;256;6.0;10;3
265,225.023,240.0,0.0;0.0;0.36;0.69;0.27;0.0;0.0;0.81;0.02;0.87;1.15;0.27;3.87;3.13;0.84;0.19;0.93;0.17;240.0;10;225.023,0.1,175.07,10,21;2;18;3;60;400;3;10;1;-40;1.1;30;8;1;5;3;22;2;2;2;1696;20;1;20;1;800;256;5.5;9;3
266,155.903,238.0,0.0;0.37;0.03;0.67;0.0;0.0;0.0;0.53;0.03;0.84;0.58;0.25;4.57;3.71;0.84;0.21;0.08;0.17;238.0;10;155.903,6.4,55.9,10,22;2;19;3;70;400;2;11;2;-41;0.9;40;7;1;5;3;21;1;3;1;1568;21;1;21;1;768;256;5.5;10;3
267,115.839,246.0,0.0;0.0;0.36;0.67;0.0;0.0;0.0;0.82;0.02;0.88;1.03;0.27;4.57;4.7;0.9;0.24;0.89;0.12;246.0;10;115.839,5.0,0,10,21;2;20;3;60;500;3;10;2;-42;0.7;40;6;1;4;3;20;1;4;2;1440;22;1;21;2;736;256;5.0;11;2
268,153.855,318.0,1.87;0.0;0.16;0.69;0.28;0.0;0.0;0.1;0.02;0.84;1.02;0.27;4.4;4.31;0.96;0.26;0.08;0.16;318.0;10;153.855,0.1,38.02,10,22;3;20;2;70;600;2;11;3;-42;0.9;30;7;2;3;3;19;2;5;1;1440;22;1;22;3;768;288;5.5;10;3
269,177.919,285.0,0.0;0.0;0.44;1.3;0.0;0.91;0.0;0.81;0.02;0.88;1.02;0.24;3.38;4.69;1.1;0.23;0.85;0.17;285.0;10;177.919,10.0,24.06,10,21;3;21;1;80;600;1;12;2;-42;0.9;20;6;3;4;3;18;3;4;1;1312;22;1;22;2;768;256;6.0;9;3
270,174.719,297.0,0.0;0.24;0.11;0.77;0.0;0.0;0.0;0.81;0.02;0.87;0.07;0.22;4.45;6.26;0.96;0.21;0.88;0.16;297.0;10;174.719,0.96,0,10,21;3;21;2;90;700;0;13;3;-43;1.1;10;7;3;3;2;19;3;3;1;1184;21;1;21;1;800;256;6.5;9;3
271,64.543,236.0,0.0;0.24;0.33;0.7;0.0;0.0;0.0;0.81;0.02;0.88;0.07;0.23;4.3;4.69;1.02;0.17;0.88;0.17;236.0;10;64.543,15,0,10,21;2;21;1;80;700;1;12;2;-44;1.3;10;7;3;4;1;18;3;2;1;1312;21;1;22;1;800;224;6.0;9;3
272,144.767,293.0,0.0;0.24;0.2;0.74;0.0;0.0;0.0;0.82;0.02;0.92;0.07;0.21;4.37;4.69;1.02;0.15;0.84;0.15;293.0;10;144.767,0.1,80.22,10,20;3;22;1;70;700;2;13;3;-43;1.3;10;7;3;3;1;18;3;1;1;1440;20;1;22;2;832;256;5.5;10;3
273,94.847,261.0,0.0;0.01;0.43;0.74;0.0;0.0;0.0;0.06;0.02;0.93;0.99;0.19;4.42;6.24;1.08;0.13;0.09;0.16;261.0;10;94.847,15,0,10,20;2;21;1;80;700;3;14;2;-42;1.1;20;7;2;3;1;17;3;1;2;1440;21;1;21;3;832;256;6.0;10;2
274,191.487,228.0,0.0;0.01;0.44;0.74;0.0;0.0;0.0;0.92;0.02;0.88;0.94;0.22;4.42;6.24;1.15;0.18;0.94;0.16;228.0;10;191.487,10.0,96.64,10,21;1;22;2;80;600;3;13;1;-43;0.9;20;7;1;2;2;16;3;2;3;1440;22;1;20;3;800;288;6.5;9;1
275,187.391,212.0,0.0;0.0;0.4;0.76;0.0;0.0;0.0;0.22;0.02;0.88;0.97;0.23;5.19;19.53;1.22;0.2;0.14;0.19;212.0;10;187.391,11.23,0,10,20;1;21;3;70;500;2;13;1;-44;1.1;10;6;1;1;2;15;2;3;3;1440;22;1;20;2;800;288;6.5;8;2
276,120.255,231.0,0.0;0.0;0.4;0.78;0.0;0.0;0.0;0.81;0.03;0.92;0.93;0.23;5.21;9.43;1.21;0.21;0.92;0.17;231.0;10;120.255,5.0,0,10,20;1;22;2;80;600;1;14;1;-45;1.3;10;6;2;2;3;15;3;3;4;1312;21;1;21;2;768;320;6.5;9;3
277,195.583,208.0,0.0;0.0;0.46;0.74;0.0;0.0;0.0;0.81;0.02;0.92;0.94;0.18;5.2;6.32;1.23;0.2;0.92;0.17;208.0;10;195.583,10.0,75.33,10,21;1;22;2;90;500;0;15;1;-46;1.1;10;6;1;3;2;15;3;3;3;1184;22;1;22;1;736;288;7.0;9;3
278,129.087,235.0,0.0;0.0;0.2;0.7;0.0;0.0;0.0;0.81;0.02;0.84;0.93;0.19;6.13;9.49;1.31;0.16;0.89;0.17;235.0;10;129.087,5.0,0,10,22;2;22;2;90;600;0;16;2;-47;0.9;10;5;1;2;1;14;3;2;4;1056;21;1;21;1;768;320;7.0;8;3
279,110.719,207.0,0.0;0.0;0.52;0.27;0.0;0.0;0.0;0.04;0.02;0.84;0.93;0.18;7.78;18.88;1.43;0.13;0.1;0.21;207.0;10;110.719,15,0,10,22;2;22;1;100;500;0;15;3;-46;0.7;10;4;1;1;2;13;2;1;3;1184;22;1;21;1;736;352;6.5;7;3
280,129.087,261.0,0.0;0.0;0.43;0.79;0.0;0.0;0.0;0.82;0.03;0.87;0.94;0.17;10.2;9.43;1.54;0.14;0.94;0.24;261.0;10;129.087,0.1,18.37,10,21;3;22;2;100;600;1;16;3;-46;0.9;10;3;1;2;3;12;2;1;4;1056;21;1;20;2;736;320;6.0;6;2
281,157.567,251.0,1.02;0.0;0.49;0.79;0.0;0.0;0.0;0.05;0.03;0.83;0.99;0.2;10.2;18.53;1.66;0.14;0.07;0.3;251.0;10;157.567,7.0,28.48,10,22;3;21;2;100;500;0;15;2;-47;1.1;10;4;1;1;2;11;3;1;3;1056;21;1;19;2;704;288;5.5;5;3
282,174.847,247.0,0.0;0.0;0.46;5.33;0.0;0.0;0.0;0.66;0.02;0.82;0.94;0.18;0.37;18.89;1.84;0.13;0.58;0.38;247.0;10;174.847,2.8,17.28,10,22;2;22;3;90;400;1;16;1;-47;1.3;20;4;1;1;3;10;3;1;4;928;22;1;18;3;704;320;6.0;4;2
283,185.855,200.0,0.0;0.0;0.45;7.97;0.0;0.0;0.0;0.83;0.02;0.87;0.98;0.19;6.1;18.86;1.83;0.14;1.11;0.28;200.0;10;185.855,10.0,11.01,10,21;1;21;2;80;300;0;16;1;-46;1.5;10;3;2;1;3;10;3;1;3;1056;21;1;17;3;672;288;5.5;5;2
284,183.167,224.0,0.0;0.0;0.45;0.77;0.02;0.0;0.0;0.57;0.02;0.86;0.94;0.2;7.78;6.12;1.67;0.15;0.1;0.3;224.0;10;183.167,0.81,0,10,21;1;22;3;80;400;1;15;1;-47;1.3;10;4;2;2;3;11;3;2;2;928;22;1;16;3;672;320;5.0;5;1
285,196.223,223.0,0.0;0.01;0.45;0.73;0.0;0.0;0.0;0.05;0.04;0.84;0.94;0.16;6.17;6.32;1.52;0.19;0.11;0.28;223.0;10;196.223,0.7,13.06,10,22;1;22;3;80;500;0;16;1;-48;1.5;10;5;3;3;3;12;3;3;3;928;21;1;16;2;704;320;5.5;6;1
286,188.543,218.0,0.0;0.01;0.4;1.3;0.08;0.0;0.0;0.82;0.02;0.83;0.94;0.16;6.39;6.3;1.68;0.2;1.17;0.24;218.0;10;188.543,5.8,0,10,22;1;21;2;70;400;-1;17;2;-48;1.7;10;4;2;3;3;11;2;3;4;1056;21;1;16;3;672;352;6.0;6;2
287,166.527,222.0,3.68;0.0;0.26;1.3;0.0;0.0;0.0;0.83;0.02;0.84;0.94;0.17;6.39;6.29;1.54;0.21;1.17;0.3;222.0;10;166.527,5.0,0,10,22;1;22;2;70;400;0;16;3;-49;1.5;20;4;1;3;3;12;3;4;3;928;22;1;16;2;704;320;6.5;5;1
288,110.015,234.0,0.0;0.0;0.4;0.66;0.0;0.0;0.0;0.83;0.02;0.85;0.94;0.19;6.35;9.4;1.53;0.19;1.1;0.29;234.0;10;110.015,5.0,0,10,22;2;22;2;70;300;0;17;3;-50;1.7;30;5;1;2;3;12;2;3;3;800;21;1;17;2;672;352;7.0;5;1
289,130.751,234.0,0.0;0.0;0.38;0.66;0.0;0.0;0.0;0.83;0.02;0.86;0.94;0.15;6.35;6.26;1.52;0.17;1.1;0.29;234.0;10;130.751,0.1,20.74,10,21;1;22;3;70;200;1;18;3;-51;1.5;40;5;1;3;3;12;3;2;3;928;20;1;18;1;640;320;7.5;5;1
290,171.647,247.0,0.0;0.0;0.26;1.03;0.0;0.0;0.0;0.86;0.03;0.87;0.93;0.16;4.18;6.28;1.4;0.2;1.09;0.3;247.0;10;171.647,0.1,40.9,10,21;1;22;3;60;200;1;19;3;-51;1.5;40;5;2;3;3;13;2;2;3;928;19;1;17;2;672;320;7.0;5;1
291,126.783,244.0,0.0;0.0;0.4;1.91;0.0;0.0;0.0;0.08;0.02;0.87;0.93;0.15;3.91;9.42;1.29;0.22;0.1;0.32;244.0;10;126.783,7.1,0,10,22;1;22;3;70;100;0;19;2;-52;1.7;50;6;3;2;3;14;2;3;4;928;20;1;18;2;672;288;6.5;5;2
292,194.047,265.0,0.0;0.01;0.36;0.69;0.0;0.0;0.0;0.82;0.02;0.84;0.94;0.13;5.17;6.21;1.22;0.18;1.04;0.29;265.0;10;194.047,0.1,67.26,10,22;1;22;3;60;100;1;20;1;-52;1.5;50;6;3;3;2;15;3;2;5;928;19;1;18;3;672;256;6.0;5;3
293,200.959,276.0,0.0;0.0;0.36;0.79;1.49;0.0;0.0;0.42;0.02;0.84;0.94;0.13;4.34;12.51;1.31;0.14;0.56;0.33;276.0;10;200.959,0.1,6.91,10,22;2;22;3;60;100;2;19;1;-53;1.3;40;7;3;2;1;14;3;1;6;1056;20;1;18;3;704;224;6.0;4;2
294,241.535,234.0,0.0;0.0;0.18;0.74;0.0;0.0;0.0;0.81;0.02;0.83;0.98;0.16;3.92;9.57;1.22;0.2;1.1;0.51;234.0;10;241.535,10.0,141.53,10,22;1;21;3;60;200;1;19;1;-54;1.5;50;8;3;2;1;15;3;2;6;1184;19;1;17;2;736;256;6.5;3;2
295,128.063,249.0,0.0;0.0;0.35;0.69;0.0;0.0;0.0;0.82;0.02;0.86;1.03;0.14;4.48;18.49;1.22;0.15;1.04;0.69;249.0;10;128.063,5.0,28.06,10,22;1;20;2;60;200;1;20;2;-53;1.5;40;7;3;1;1;15;3;1;5;1056;20;1;18;3;768;224;6.0;2;3
296,150.911,231.0,0.0;0.01;0.21;0.71;0.0;0.0;0.0;0.83;0.02;0.84;1.09;0.13;5.02;9.57;1.15;0.2;1.04;0.73;231.0;10;150.911,10.0,22.85,10,22;2;19;1;70;100;1;21;1;-54;1.5;30;6;3;2;1;16;3;2;6;1184;19;1;18;3;768;192;6.5;2;3
297,181.119,258.0,0.0;0.01;0.17;0.79;0.0;0.0;0.0;0.82;0.02;0.83;1.09;0.14;6.29;18.5;1.21;0.16;1.1;1.42;258.0;10;181.119,0.1,30.21,10,22;3;18;1;60;100;0;20;2;-55;1.5;20;5;3;1;2;15;3;1;6;1184;18;1;17;3;800;160;6.0;1;3
298,184.191,275.0,0.0;0.0;0.26;0.83;0.0;0.0;0.0;0.82;0.02;0.83;1.1;0.15;6.96;9.46;1.32;0.16;1.17;1.36;275.0;10;184.191,0.1,3.07,10,22;2;19;2;70;100;-1;21;3;-54;1.5;10;4;3;2;3;14;3;1;7;1184;19;1;16;3;800;128;6.5;1;3
299,155.647,236.0,0.0;0.0;0.31;0.69;0.0;0.0;0.0;0.04;0.01;0.83;1.04;0.14;6.17;9.35;1.42;0.15;0.14;1.58;236.0;10;155.647,15,0,10,22;1;20;3;70;100;0;20;3;-54;1.3;10;5;2;2;3;13;2;1;6;1184;20;1;15;2;768;160;6.0;1;2
300,110.783,269.0,0.0;0.0;0.45;0.71;0.0;0.0;0.0;0.06;0.02;0.86;0.98;0.15;7.92;6.28;1.52;0.15;0.13;1.37;269.0;10;110.783,5.0,0,10,22;1;21;3;80;100;1;19;3;-55;1.3;10;4;3;3;3;12;3;1;6;1312;20;1;16;3;800;128;5.5;1;2
301,155.519,270.0,0.0;0.0;0.34;0.74;0.0;0.0;0.0;0.82;0.02;0.86;0.94;0.15;10.38;4.7;1.53;0.15;1.09;1.3;270.0;10;155.519,0.1,44.74,10,21;1;22;3;70;200;0;18;3;-56;1.5;10;3;3;4;3;12;3;1;5;1440;20;1;17;3;832;128;5.0;1;1
