task,latency,resource,observation,reward,cost,workload,conf
16,84.287,31.0,2.3;0.29;0.66;0.94;0.38;0.51;0.43;1.07;0.02;5.16;6.17;0.83;9.22;8.72;13.01;1.6;14.13;1.38;31.0;10;84.287,6.8,0,10,4;1;4;2;70;400;2;3;1;0;1.1;90;4;1;3;1;1;2;3;5;384;3;1;1;3;256;64;1.1;1;1
17,7.095,35.0,4.34;0.31;0.68;2.56;0.67;1.23;1.04;1.09;0.02;4.95;5.27;1.08;8.09;8.1;17.07;1.25;19.27;1.02;35.0;10;7.095,1.0,0,10,4;1;4;3;60;500;3;2;2;1;0.9;90;4;1;2;1;1;1;2;6;512;3;1;1;3;256;64;1.1;2;1
18,7.203,47.0,2.13;0.28;0.54;1.24;0.78;1.97;0.62;0.72;0.02;4.93;4.54;1.51;7.89;8.18;10.75;1.65;15.93;0.61;47.0;10;7.203,0.5,0,10,4;2;4;3;70;600;4;2;3;0;1.1;100;4;2;3;1;2;1;3;6;640;2;1;1;3;256;96;1.1;3;1
19,7.587,47.0,1.6;0.3;0.49;0.68;0.82;0.93;0.81;0.83;0.02;3.78;5.2;2.08;7.64;3.61;9.57;1.76;18.7;0.66;47.0;10;7.587,0.5,0,10,4;2;4;2;60;500;5;1;3;0;0.9;100;4;3;4;1;2;2;2;7;512;3;1;1;3;256;128;1.6;2;1
20,7.627,52.0,2.02;0.61;0.41;1.41;0.32;0.78;0.69;0.7;0.03;4.77;3.68;2.2;5.9;5.81;7.16;1.12;15.92;0.68;52.0;10;7.627,0.5,0,10,4;2;4;1;60;400;6;2;3;0;0.7;100;4;3;3;2;3;2;1;6;640;4;1;1;3;288;96;2.1;3;1
21,7.987,50.0,1.03;0.69;0.51;1.59;0.55;1.02;0.8;0.71;0.02;5.05;5.33;2.12;6.46;5.95;5.84;0.86;12.6;0.62;50.0;10;7.987,1.9,0,10,4;3;4;1;70;400;5;1;3;1;0.7;100;4;3;4;1;4;1;1;7;640;3;1;2;3;256;128;2.1;2;1
22,7.935,52.0,0.82;0.43;0.51;4.66;0.32;0.69;0.84;0.93;0.02;4.91;5.34;2.25;5.99;4.98;5.54;1.19;6.85;1.09;52.0;10;7.935,1.0,0,10,4;2;4;2;80;500;6;2;3;1;0.7;90;3;3;4;1;4;1;2;6;512;3;1;3;3;256;160;1.6;1;1
23,7.211,50.0,1.24;0.34;0.53;1.58;0.77;0.87;1.05;0.74;0.02;4.77;5.34;1.95;9.29;5.67;4.96;1.51;7.78;1.48;50.0;10;7.211,2.4,0,10,4;3;4;2;70;600;5;1;2;2;0.9;90;4;3;3;1;4;1;2;7;512;2;1;2;3;256;192;1.6;1;1
24,7.271,52.0,1.01;0.23;0.53;0.68;0.45;1.41;0.48;0.83;0.02;4.27;5.28;2.95;7.69;6.67;6.12;2.35;8.19;0.98;52.0;10;7.271,0.5,0,10,4;3;4;3;60;500;6;1;3;2;0.9;100;4;2;3;1;3;1;1;6;384;1;1;3;2;256;160;1.1;2;2
25,11.391,46.0,1.1;0.31;0.43;2.44;0.76;1.49;1.04;0.69;0.02;4.58;4.43;2.95;7.4;5.75;5.8;2.07;4.28;1.26;46.0;10;11.391,4.7,0,10,3;3;4;3;70;500;7;1;2;1;1.1;100;3;2;4;1;4;1;1;7;256;2;1;4;1;288;192;1.1;1;3
