task,latency,resource,observation,reward,cost,workload,conf
27,3.015,29.0,0.82;0.08;0.0;0.0;0.47;3.08;4.23;0.38;3.65;4.14;29.0;20;3.015,0.0,0,20,6;1;2;3;2;4;416;9;1;5;1;70;500;2;1;3
28,3.653,33.0,0.84;0.05;0.0;0.0;0.43;3.73;2.9;0.48;3.75;1.46;33.0;20;3.653,0.0,0,20,5;1;3;3;3;3;416;8;1;5;1;80;600;2;2;3
29,3.277,32.0,0.84;0.05;0.0;0.0;0.49;4.67;2.9;0.77;3.1;1.62;32.0;20;3.277,1.05,0,20,4;1;3;3;3;4;544;9;1;6;1;90;600;3;2;2
30,3.493,29.0,0.83;0.07;0.0;0.0;0.44;4.69;2.78;0.41;3.75;1.62;29.0;20;3.493,0.77,0,20,4;2;3;2;2;4;416;8;1;5;1;80;700;3;2;1
31,2.969,31.0,0.82;0.03;0.0;0.0;0.49;6.1;2.84;0.9;4.59;3.7;31.0;20;2.969,0.35,0,20,3;3;3;3;1;4;288;8;1;4;1;90;700;3;1;1
32,3.307,34.0,0.84;0.0;0.0;0.0;0.5;4.69;2.16;0.38;3.68;3.96;34.0;20;3.307,0.0,0,20,4;3;4;2;1;3;288;7;1;5;1;100;800;2;1;2
33,3.241,41.0,0.84;0.0;0.0;0.0;0.37;3.77;2.69;0.34;3.09;3.3;41.0;20;3.241,0.31,0,20,5;3;3;1;1;4;416;8;1;6;2;100;800;3;1;3
34,3.255,53.0,0.83;0.07;0.0;0.0;0.53;3.13;4.06;0.37;3.09;1.41;53.0;20;3.255,0.3,0,20,6;3;2;2;2;5;544;9;1;6;3;100;900;3;2;2
35,46.783,45.0,1.01;0.0;0.0;0.0;0.52;3.03;2.79;0.35;3.73;1.17;45.0;20;46.783,0.83,0,20,5;2;3;2;1;4;544;8;1;5;3;100;900;3;3;2
36,4.399,53.0,0.84;0.08;0.0;0.11;0.5;4.69;3.95;0.37;3.1;0.85;53.0;20;4.399,1.0,0,20,4;3;2;1;2;3;416;9;1;6;3;100;1000;4;4;3
37,3.253,44.0,0.84;0.07;0.0;0.0;0.51;3.73;4.39;0.81;3.67;1.23;44.0;20;3.253,1.25,0,20,5;3;2;2;1;3;544;9;1;5;2;100;1100;3;3;2
38,3.203,42.0,0.77;0.05;0.0;0.0;0.48;4.74;2.83;0.41;3.75;0.85;42.0;20;3.203,1.04,0,20,4;2;3;3;2;4;416;8;1;5;1;90;1100;3;4;3
39,3.073,50.0,0.83;0.06;0.0;0.0;0.48;4.74;4.27;0.38;3.11;0.7;50.0;20;3.073,0.31,0,20,4;2;2;3;2;5;288;9;1;6;2;90;1000;4;5;3
40,3.465,49.0,0.84;0.03;0.0;0.0;0.38;3.75;4.18;0.52;3.74;0.47;49.0;20;3.465,0.71,0,20,5;2;2;3;1;4;288;10;1;5;1;80;1100;5;6;3
41,3.111,42.0,0.84;0.03;0.0;0.0;0.4;4.07;2.83;0.26;4.63;0.62;42.0;20;3.111,1.15,0,20,4;1;3;3;1;5;288;11;1;4;2;70;1000;4;5;2
42,3.241,37.0,0.85;0.0;0.0;0.0;0.33;4.7;2.05;0.32;6.19;0.58;37.0;20;3.241,0.8,0,20,4;1;4;2;2;5;160;10;1;3;3;80;1100;3;6;1
43,7.983,42.0,0.83;0.0;0.0;0.0;0.46;3.78;2.71;0.35;4.59;0.56;42.0;20;7.983,0.0,0,20,5;1;3;3;2;5;32;9;1;4;3;80;1100;2;7;1
44,4.547,41.0,0.84;0.01;0.0;0.0;0.42;3.77;2.71;0.34;6.24;0.43;41.0;20;4.547,1.24,0,20,5;1;3;3;2;6;32;10;1;3;3;70;1000;2;8;1
45,202.239,28.0,0.83;0.03;0.0;0.0;0.42;6.23;4.2;0.7;9.29;0.47;28.0;20;202.239,1.0,102.24,20,3;2;2;2;3;10;416;6;1;2;3;80;1100;2;6;1
46,22.031,38.0,0.82;0.02;0.0;0.0;0.42;3.76;3.58;0.35;3.67;0.64;38.0;20;22.031,0.83,0,20,5;1;3;2;3;6;160;11;1;5;2;70;1200;4;6;1
47,3.363,37.0,0.86;0.08;0.0;0.0;0.36;3.13;4.42;0.33;4.49;0.43;37.0;20;3.363,1.72,0,20,6;1;2;1;2;5;32;10;1;4;3;70;1100;4;7;1
48,3.433,39.0,0.83;0.08;0.0;0.0;0.4;3.13;4.28;0.32;3.71;0.47;39.0;20;3.433,0.0,0,20,6;1;2;2;3;4;32;11;1;5;2;70;1000;3;8;1
49,3.313,32.0,0.84;0.07;0.0;0.0;0.42;3.79;7.99;0.75;3.06;0.45;32.0;20;3.313,1.17,0,20,5;1;1;2;4;3;32;11;1;6;1;70;1100;4;8;1
50,3.231,52.0,1.06;0.03;0.0;0.0;0.44;2.58;4.0;0.36;3.06;0.44;52.0;20;3.231,0.31,0,20,5;2;2;2;3;3;32;10;1;6;2;80;1200;5;8;2
51,3.339,62.0,0.84;0.05;0.0;0.0;0.48;3.54;2.79;0.37;3.71;0.48;62.0;20;3.339,0.0,0,20,6;1;3;3;4;2;32;11;1;5;3;90;1300;4;7;3
52,5.731,69.0,0.83;0.03;0.0;0.0;0.43;2.67;4.09;0.41;4.33;0.47;69.0;20;5.731,0.0,0,20,7;2;2;3;4;2;160;10;1;5;3;80;1300;3;8;3
53,3.707,76.0,0.84;0.02;0.0;0.0;0.47;2.34;5.8;0.32;4.66;0.38;76.0;20;3.707,0.46,0,20,8;3;1;2;3;1;288;11;1;4;3;90;1200;3;9;3
54,73.407,66.0,0.83;0.06;0.0;0.0;0.48;2.69;4.22;0.4;4.65;0.44;66.0;20;73.407,0.8,0,20,7;2;2;3;3;2;416;10;1;4;3;90;1200;3;8;3
55,7.007,60.0,0.85;0.05;0.0;0.0;0.45;2.97;7.97;0.86;4.69;0.44;60.0;20;7.007,1.77,0,20,6;3;1;3;3;3;416;10;1;4;2;90;1200;4;7;3
56,3.323,54.0,0.76;0.02;0.0;0.0;0.48;3.45;7.97;0.46;6.2;0.58;54.0;20;3.323,1.41,0,20,5;3;1;3;4;2;288;9;1;3;3;90;1100;4;6;3
57,3.353,51.0,0.83;0.05;0.0;0.12;0.5;4.71;7.97;0.44;4.34;0.66;51.0;20;3.353,0.74,0,20,4;3;1;3;5;3;160;10;1;4;2;100;1100;4;6;3
58,3.111,50.0,0.85;0.05;0.0;0.0;0.5;4.71;7.97;0.5;3.74;0.52;50.0;20;3.111,1.04,0,20,4;3;1;3;4;4;288;9;1;5;1;100;1100;5;7;3
59,3.505,48.0,0.82;0.04;0.0;0.0;0.49;3.77;8.43;0.41;3.7;0.45;48.0;20;3.505,0.73,0,20,5;3;1;2;3;5;416;10;1;5;1;100;1000;6;8;2
60,3.291,45.0,0.69;0.06;0.0;0.0;0.52;4.7;4.19;0.32;4.66;0.52;45.0;20;3.291,1.07,0,20,4;3;2;2;2;6;416;11;1;4;1;100;1100;7;7;2
61,3.251,47.0,0.83;0.04;0.0;0.0;0.45;4.74;2.78;0.24;6.11;0.42;47.0;20;3.251,0.3,0,20,4;3;3;2;1;5;544;12;1;3;1;100;1200;6;7;2
62,3.187,40.0,0.84;0.03;0.0;0.0;0.52;3.76;3.96;0.46;4.64;0.56;40.0;20;3.187,1.13,0,20,5;3;2;1;1;5;544;12;1;4;1;100;1300;6;7;1
63,3.063,43.0,0.84;0.04;0.0;0.0;0.43;3.76;2.73;0.48;4.65;0.45;43.0;20;3.063,0.31,0,20,5;3;3;2;1;4;416;12;1;4;1;100;1400;6;6;1
64,3.279,46.0,0.83;0.08;0.0;0.0;0.49;3.75;4.32;0.48;3.69;0.45;46.0;20;3.279,0.0,0,20,5;3;2;1;1;4;544;12;1;5;2;90;1400;5;7;1
