task,latency,resource,observation,reward,cost,workload,conf
17,110.72,48,3.81;0.1;0.6;2.17;0.03;0.0;0.0;0.92;0.02;7.58;7.02;0.79;0.59;6.25;5.19;1.6;6.27;1.43;48;10;110.72,-1,-1,10,4;3;2;2;50;200;5;4;2;-1;1.1;70;2;2;3;3;2;1;2;3;416;4;1;2;1;320;384;1.1;3;1
18,0.34,47,0.0;0.0;0.35;1.72;0.0;0.0;0.0;0.0;0.02;0.47;1.34;1.47;15.68;1.31;0.34;0.0;1.08;0.37;47;10;0.34,-1,-1,10,3;2;3;3;60;100;6;3;1;0;1.1;70;1;3;3;3;3;2;2;2;288;4;1;3;1;288;352;1.1;2;2
19,7.43,42,1.69;0.82;0.4;0.7;0.36;0.89;1.01;0.82;0.02;7.89;11.52;2.83;9.08;5.09;9.87;1.04;12.88;0.39;42;10;7.43,-1,-1,10,3;3;3;2;70;100;7;4;1;1;1.3;80;2;2;4;2;2;1;1;2;416;4;1;2;1;320;384;1.1;1;3
20,7.43,55,1.69;0.82;0.4;0.7;0.36;0.89;1.01;0.82;0.02;7.89;11.52;2.83;9.08;5.09;9.87;1.04;12.88;0.39;55;10;7.43,-1,-1,10,4;3;2;1;70;100;6;4;2;0;1.1;90;3;3;3;2;3;2;2;3;416;4;1;3;2;320;384;1.1;1;2
21,156.03,48,0.0;0.24;0.38;0.72;0.0;0.0;0.0;0.83;0.02;3.11;7.3;0.23;6.16;1.89;2.63;0.24;3.15;0.12;48;10;156.03,-1,-1,10,3;2;3;1;70;100;5;4;2;1;0.9;80;3;2;3;3;3;1;1;4;288;4;1;2;3;320;352;1.1;1;3
22,126.08,30,0.0;0.07;0.12;0.69;0.0;0.0;0.0;0.53;0.02;3.76;14.36;0.24;7.72;2.07;2.3;0.24;2.68;0.11;30;10;126.08,-1,-1,10,2;3;2;1;60;200;6;4;1;2;1.1;70;3;1;2;3;2;1;2;4;160;3;1;1;2;320;384;1.6;1;2
23,20.22,26,0.34;0.12;0.35;0.62;0.66;0.69;0.53;0.78;0.02;8.41;6.21;0.65;15.11;6.0;2.93;1.0;4.7;0.45;26;10;20.22,-1,-1,10,1;2;1;1;70;200;6;4;1;1;0.9;80;4;1;2;3;1;2;3;5;288;4;1;1;2;352;416;2.1;1;1
24,156.03,29,0.0;0.24;0.38;0.72;0.0;0.0;0.0;0.83;0.02;3.11;7.3;0.23;6.16;1.89;2.63;0.24;3.15;0.12;29;10;156.03,-1,-1,10,1;3;2;1;70;100;6;4;1;0;0.9;90;3;1;3;2;1;3;3;6;416;4;1;2;1;384;384;2.1;1;2
25,156.03,38,0.0;0.24;0.38;0.72;0.0;0.0;0.0;0.83;0.02;3.11;7.3;0.23;6.16;1.89;2.63;0.24;3.15;0.12;38;10;156.03,-1,-1,10,1;3;1;2;60;100;7;4;1;-1;1.1;80;2;1;4;3;2;3;4;5;288;4;1;1;2;352;352;2.6;1;3
26,45.5,37,0.85;0.81;0.56;0.74;0.19;0.98;0.17;0.98;0.01;13.85;15.77;2.93;10.56;8.01;19.52;0.84;3.59;0.36;37;10;45.5,-1,-1,10,1;2;1;1;60;100;7;4;1;0;0.9;90;3;2;3;2;3;3;3;6;160;3;1;2;1;384;320;2.1;2;2
27,156.03,41,0.0;0.24;0.38;0.72;0.0;0.0;0.0;0.83;0.02;3.11;7.3;0.23;6.16;1.89;2.63;0.24;3.15;0.12;41;10;156.03,-1,-1,10,1;3;1;1;60;100;6;3;2;1;1.1;90;4;3;2;1;2;3;2;6;288;2;1;3;2;384;352;1.6;3;1
